
	Date	Time	AS Instance	Act. WPs	Dia.WPs	RFC Normal	RFC Low	CPU Usr	CPU Sys	CPU Idle	  CPU.	  Ava.	Rea.	Ste.	Paging in	Paging out	Free Mem.	FreeMem	Free(+FS)	EM alloc.	EM attach.	Heap Memor	Paging Mem	Pri.	Dia.	Ave.	Ave.	Upd.	Enq.	Logins	Sessions	   RTT	  Time
	2025/01/06	00:11:30	tels4happa06_PS4_00	      4	     4	       32	    32	     3	     1	     96	 0.62	10.00	0.3	  0	       0	        0	      69	45,828	  45,828	  15,356	   15,344	        0	        0	  0	  1	  3	  3	  0	  0	   12	     12	  309	10,117
	2025/01/06	00:11:50	tels4happa05_PS4_00	      1	     1	       48	    45	     7	     1	     92	 0.98	10.00	0.4	  0	       0	        0	      69	45,263	  45,263	  15,464	   15,300	        0	        0	  0	 47	  2	  3	  0	  0	   27	     27	  335	10,011
	2025/01/06	00:12:00	tels4happa03_PS4_00	      8	     4	       32	    32	    20	     3	     77	 3.84	15.00	1.2	  0	       0	      299	      61	60,626	  60,626	  29,544	   24,868	       52	   20,873	  0	  1	  2	  4	  0	  0	  287	    292	  403	10,161
	2025/01/06	00:12:10	tels4happa04_PS4_00	      1	     1	       37	    35	     7	     1	     92	 0.94	10.00	0.5	  0	       0	        0	      73	48,376	  48,376	  15,336	   15,300	        0	        4	  0	  1	  0	  1	  0	  0	   10	     10	  392	10,011
	2025/01/06	00:15:00	tels4happa01_PS4_00	      6	     6	       25	    25	    15	     3	     82	 2.04	10.00	0.6	  0	       0	       51	      55	36,076	  36,076	  22,964	   18,824	      727	   37,225	  2	  4	  3	  5	  0	  0	  263	    276	  393	10,171
	2025/01/06	00:15:30	tels4happa09_PS4_00	      1	     1	        0	     0	     3	     1	     96	 0.43	10.00	0.2	  0	       0	        0	      75	49,611	  49,611	  15,332	   15,320	        0	        0	  0	  1	  0	  0	  0	  0	    9	      9	  431	10,018
	2025/01/06	00:15:50	tels4happa08_PS4_00	      1	     1	        0	     0	     1	     0	     99	 0.21	10.00	0.2	  0	       0	        0	      74	48,806	  48,806	  15,332	   15,304	        0	        0	  0	  1	  0	  0	  0	  0	    9	      9	  435	10,015
	2025/01/06	00:16:10	tels4happa02_PS4_00	      9	     3	       32	    32	    15	     1	     84	 2.96	15.00	0.4	  0	       0	        0	      59	58,381	  58,381	  30,112	   25,816	      160	   30,620	  1	  1	  6	  6	  0	  0	  296	    298	  440	10,127
	2025/01/06	00:16:10	tels4happa07_PS4_00	      9	     9	       32	    32	     2	     0	     98	 0.34	10.00	0.1	  0	       0	        0	      68	45,118	  45,118	  15,400	   15,376	        0	        2	  0	  1	  5	  6	  0	  0	   16	     16	  394	10,124
	2025/01/06	00:16:30	tels4happa06_PS4_00	      8	     8	       32	    32	     4	     1	     95	 0.68	10.00	0.2	  0	       0	        0	      69	45,732	  45,732	  15,408	   15,372	        0	        1	  0	  1	  8	  7	  0	  0	   16	     16	  341	10,127
	2025/01/06	00:16:50	tels4happa05_PS4_00	      1	     1	       48	    45	     2	     1	     97	 0.44	10.00	0.2	  0	       0	        0	      68	45,162	  45,162	  15,368	   15,300	        0	        1	  0	 46	  1	  1	  0	  0	   14	     14	  382	10,115
